epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.881600022315979,0.0010000000474974513,0.3884269893169403,0.9077757596969604,0.4246055781841278
1,0.9643999934196472,0.0010000000474974513,0.11194821447134018,0.8842676281929016,0.34524261951446533
2,0.9771999716758728,0.0010000000474974513,0.08273668587207794,0.887884259223938,0.2946758270263672
3,0.9779999852180481,0.0010000000474974513,0.07549776881933212,0.909584105014801,0.2578951418399811
4,0.9779999852180481,0.0010000000474974513,0.06149059534072876,0.8661844730377197,0.4268494248390198
5,0.9860000014305115,0.0010000000474974513,0.04250703752040863,0.909584105014801,0.25460538268089294
6,0.9872000217437744,0.0010000000474974513,0.034121666103601456,0.9168173670768738,0.22299982607364655
7,0.9824000000953674,0.0010000000474974513,0.05056565999984741,0.8951175212860107,0.3766031861305237
8,0.9855999946594238,0.0010000000474974513,0.05088173970580101,0.9023508429527283,0.3811222016811371
9,0.9876000285148621,0.0010000000474974513,0.04496733099222183,0.8824593424797058,0.3993130624294281
10,0.9887999892234802,0.0005000000237487257,0.04439020901918411,0.8770343661308289,0.3821450471878052
11,0.9860000014305115,0.0005000000237487257,0.04568727687001228,0.8806509971618652,0.3726294934749603
12,0.9911999702453613,0.0005000000237487257,0.022597789764404297,0.9113923907279968,0.30680206418037415
13,0.9919999837875366,0.0002500000118743628,0.027173012495040894,0.9005424976348877,0.3809775710105896
14,0.9936000108718872,0.0002500000118743628,0.023019133135676384,0.887884259223938,0.43811678886413574
